Wall time,Step,Value
1766836224.5072875,146,5.918674468994141
1766837323.782838,147,5.8965864181518555
1766837928.2350829,148,5.660569190979004
1766838767.227994,149,6.261316776275635
1766839280.5047824,150,5.772286891937256
1766839858.3056676,151,5.792145729064941
1766840827.6050663,152,5.518410682678223
1766841719.7780583,153,5.610000133514404
1766842746.0076637,154,6.388888835906982
1766843733.9809344,155,5.375968933105469
1766844762.6391604,156,5.685184955596924
1766845680.3441772,157,5.465174198150635
1766846595.0593283,158,6.295044898986816
1766847517.0609138,159,4.645237922668457
1766848515.428898,160,5.734741687774658
1766849511.123234,161,5.1583333015441895
1766850012.6431358,162,5.0933332443237305
1766850488.10589,163,4.858974456787109
1766851432.1321454,164,4.288461685180664
1766852345.926553,165,5.391025543212891
1766852849.8155055,166,5.627450942993164
1766853503.2698312,167,6.437793254852295
1766853969.5478032,168,4.283854007720947
1766854611.3870642,169,4.661538600921631
